epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,13367.2,0.67451,0.28908,0.98101,0.99897,0.99889,0.99496,0.89508,0.56977,0.21443,0.95978,0.003961,0.003961,0.003961
63,13580.7,0.67498,0.28737,0.97926,0.99892,0.99891,0.99496,0.89519,0.56912,0.21388,0.95934,0.003862,0.003862,0.003862
64,13792.9,0.67121,0.2862,0.97817,0.99894,0.99893,0.99496,0.89533,0.56831,0.21364,0.95884,0.003763,0.003763,0.003763
65,14005.3,0.67489,0.28828,0.97862,0.99894,0.99898,0.99496,0.89589,0.56756,0.21329,0.95834,0.003664,0.003664,0.003664
66,14217.6,0.67168,0.28658,0.97631,0.99898,0.99897,0.99496,0.89601,0.56692,0.213,0.95796,0.003565,0.003565,0.003565
67,14430.5,0.66697,0.28245,0.97636,0.99903,0.99886,0.99497,0.89594,0.56633,0.2128,0.95758,0.003466,0.003466,0.003466
68,14644.4,0.6687,0.28326,0.97718,0.999,0.99897,0.99497,0.89616,0.56576,0.21241,0.9572,0.003367,0.003367,0.003367
69,14857,0.66567,0.28271,0.97715,0.999,0.99887,0.99496,0.8964,0.56515,0.21214,0.95682,0.003268,0.003268,0.003268
70,15069,0.66392,0.28267,0.97458,0.999,0.99889,0.99497,0.89639,0.56462,0.2119,0.95643,0.003169,0.003169,0.003169
71,15282.7,0.66226,0.28112,0.97346,0.99903,0.99888,0.99497,0.89651,0.56408,0.21166,0.95608,0.00307,0.00307,0.00307
72,15495,0.6562,0.27857,0.97067,0.99908,0.99889,0.99497,0.89659,0.56352,0.21142,0.9557,0.002971,0.002971,0.002971
73,15707.7,0.65945,0.2799,0.96928,0.99908,0.99893,0.99497,0.89693,0.5631,0.21122,0.95536,0.002872,0.002872,0.002872
74,15919.9,0.65473,0.27748,0.97131,0.99905,0.99893,0.99497,0.89703,0.56263,0.21108,0.95505,0.002773,0.002773,0.002773
75,16133.1,0.6575,0.27692,0.97013,0.99903,0.99893,0.99497,0.89698,0.56216,0.21086,0.95473,0.002674,0.002674,0.002674
76,16345.4,0.65663,0.2762,0.97225,0.99905,0.99901,0.99497,0.89719,0.56165,0.21061,0.95442,0.002575,0.002575,0.002575
77,16557.6,0.65547,0.27632,0.96849,0.99905,0.99907,0.99497,0.89734,0.56121,0.21046,0.95412,0.002476,0.002476,0.002476
78,16770,0.65312,0.27453,0.9684,0.99907,0.99906,0.99497,0.89747,0.56082,0.2102,0.95384,0.002377,0.002377,0.002377
79,16982.8,0.65225,0.27295,0.96862,0.99904,0.99906,0.99497,0.89725,0.56041,0.21001,0.95356,0.002278,0.002278,0.002278
80,17194.3,0.64262,0.2709,0.96333,0.99906,0.99905,0.99497,0.89747,0.56006,0.20992,0.95329,0.002179,0.002179,0.002179
81,17406.6,0.64635,0.27051,0.96268,0.99905,0.99914,0.99497,0.89759,0.55963,0.20964,0.95302,0.00208,0.00208,0.00208
82,17619.5,0.64556,0.2696,0.96626,0.99908,0.99913,0.99497,0.89791,0.55917,0.20947,0.95271,0.001981,0.001981,0.001981
83,17832.3,0.64435,0.26872,0.96229,0.99903,0.99909,0.99497,0.89787,0.55875,0.2093,0.95242,0.001882,0.001882,0.001882
84,18052.8,0.64141,0.26743,0.96228,0.99902,0.99909,0.99497,0.89787,0.55828,0.20909,0.95213,0.001783,0.001783,0.001783
85,18279.7,0.63773,0.26516,0.95985,0.99903,0.9991,0.99497,0.89778,0.55786,0.20884,0.95186,0.001684,0.001684,0.001684
86,18505.2,0.63391,0.26408,0.95913,0.99905,0.9991,0.99497,0.89795,0.55747,0.20868,0.95157,0.001585,0.001585,0.001585
87,18721.6,0.63732,0.26554,0.96344,0.99905,0.99912,0.99497,0.89804,0.55701,0.2085,0.95127,0.001486,0.001486,0.001486
88,18937.1,0.63455,0.26376,0.95886,0.99905,0.99912,0.99497,0.89837,0.55658,0.20832,0.95098,0.001387,0.001387,0.001387
89,19150.4,0.63283,0.26101,0.95661,0.99904,0.99915,0.99497,0.89835,0.55614,0.20817,0.95067,0.001288,0.001288,0.001288
90,19365.9,0.63561,0.26378,0.95841,0.99906,0.9991,0.99497,0.89847,0.55573,0.20792,0.95039,0.001189,0.001189,0.001189
91,19577.2,0.5899,0.22842,0.97678,0.99907,0.99909,0.99497,0.89852,0.55526,0.2078,0.95007,0.00109,0.00109,0.00109
92,19809.6,0.58819,0.22743,0.97535,0.99907,0.99909,0.99497,0.89865,0.55477,0.20765,0.94974,0.000991,0.000991,0.000991
93,20030.2,0.58305,0.22455,0.97213,0.99906,0.99912,0.99497,0.8987,0.55421,0.2074,0.94939,0.000892,0.000892,0.000892
94,20242.1,0.58297,0.22438,0.96983,0.99906,0.99913,0.99497,0.8989,0.55371,0.2072,0.94904,0.000793,0.000793,0.000793
95,20452.6,0.57868,0.22326,0.96777,0.99906,0.99913,0.99497,0.8991,0.55319,0.20695,0.94871,0.000694,0.000694,0.000694
96,20666.4,0.578,0.2216,0.96735,0.99907,0.99909,0.99497,0.89913,0.55263,0.20674,0.94834,0.000595,0.000595,0.000595
97,20880.5,0.57448,0.22012,0.9663,0.99909,0.99911,0.99497,0.89934,0.55208,0.20661,0.94797,0.000496,0.000496,0.000496
98,21092.7,0.57406,0.22034,0.96318,0.99911,0.99909,0.99497,0.89938,0.55148,0.20646,0.94759,0.000397,0.000397,0.000397
99,21306.5,0.57475,0.21885,0.96613,0.99914,0.99908,0.99497,0.89976,0.55097,0.20627,0.94725,0.000298,0.000298,0.000298
100,21520.1,0.56798,0.21611,0.95938,0.99899,0.99927,0.99497,0.89999,0.5504,0.20603,0.94691,0.000199,0.000199,0.000199
